term,label,ame,ci_low,ci_high,model,n,ame_scale,ame_method
sentiment,Review-level sentiment,0.19484692052848238,0.1807735636920403,0.2110354367349163,review_fe,20427,0.2315364695779132,draws_scaled
politeness,Review-level politeness,0.0477479318769883,0.036316668053878634,0.05910993970580645,review_fe,20427,0.2315364695779132,draws_scaled
toxicity,Review-level toxicity,-0.3756966859478041,-0.767638386953981,0.06289926107622615,review_fe,20427,0.2315364695779132,draws_scaled
constructiveness,Review-level constructiveness,0.011099941468535386,0.0024731838795581536,0.01806505665522604,review_fe,20427,0.2315364695779132,draws_scaled
confidence_numeric_imputed,Reviewer confidence,-0.07947282422866557,-0.08924739121245781,-0.06908498567807997,review_fe,20427,0.2315364695779132,draws_scaled
confidence_missing,Confidence missingness indicator,0.004467305234638476,-0.13607979295417572,0.15278664555118204,review_fe,20427,0.2315364695779132,draws_scaled
review_length,Review length (tokens),-0.0001026000006715486,-0.00014183697309893005,-6.157143198874507e-05,review_fe,20427,0.2315364695779132,draws_scaled
title_length,Title length (tokens),-0.004413057967743141,-0.007417065368350015,-0.0012079710668659322,review_fe,20427,0.2315364695779132,draws_scaled
abstract_length,Abstract length (tokens),0.0001727990799093676,-2.8594719759297916e-05,0.0003678887067551535,review_fe,20427,0.2315364695779132,draws_scaled
keyword_count,Number of keywords,0.002496353474782676,-0.0022791143915178174,0.008144925774114326,review_fe,20427,0.2315364695779132,draws_scaled
