term,label,ame,ci_low,ci_high,model,n,ame_scale,ame_method
mean_sentiment,Paper-level mean review sentiment,-0.0019714140308272963,-0.017408728849217733,0.013673981295975234,paper_fe,5922,0.07530290131518888,draws_scaled
mean_politeness,Paper-level mean review politeness,-0.011008371588655232,-0.023721463543006756,0.0033524567624979755,paper_fe,5922,0.07530290131518888,draws_scaled
mean_toxicity,Paper-level mean review toxicity,0.7502753557012487,-0.5675373441309016,2.2085592860085046,paper_fe,5922,0.07530290131518888,draws_scaled
mean_constructiveness,Paper-level mean review constructiveness,-0.008545397636371414,-0.0196260306935252,0.0031743343623524844,paper_fe,5922,0.07530290131518888,draws_scaled
mean_score,Mean reviewer score,0.2624637432248813,0.25374861438230906,0.26957175098792796,paper_fe,5922,0.07530290131518888,draws_scaled
score_std,Reviewer score disagreement,0.0028684987634705456,-0.00462316152520022,0.012020498881157698,paper_fe,5922,0.07530290131518888,draws_scaled
confidence_mean_imputed,Mean reviewer confidence,-0.001942846620635973,-0.021114678506275283,0.018453330426217857,paper_fe,5922,0.07530290131518888,draws_scaled
confidence_missing,Confidence missingness indicator,0.06355758219223541,-79279055431659.14,80392131796392.62,paper_fe,5922,0.07530290131518888,draws_scaled
num_reviews,Number of reviews,-0.005078947217404581,-0.02998774956744927,0.022120545104020176,paper_fe,5922,0.07530290131518888,draws_scaled
review_length_mean,Mean review length (tokens),-1.1409005660034596e-05,-8.014227972692982e-05,5.278283530807952e-05,paper_fe,5922,0.07530290131518888,draws_scaled
title_length,Title length (tokens),-0.0013046132706876633,-0.0029382085097823863,0.00021233807444308636,paper_fe,5922,0.07530290131518888,draws_scaled
abstract_length,Abstract length (tokens),-4.010902422257119e-05,-0.000139523736301693,6.0258163716547336e-05,paper_fe,5922,0.07530290131518888,draws_scaled
keyword_count,Number of keywords,0.003612767015683597,0.00037688429809045734,0.007405794072136882,paper_fe,5922,0.07530290131518888,draws_scaled
